name                                                       , wins, total, proportion         , score errors, winner errors, event errors, country errors
general                                                    , 8306, 10572,                    ,           74,             3,            9,              1
TriKzR4Kidz                                                ,   35,    46, 0.7608695652173914 ,            1,             0,            0
Titanium Titans                                            ,    8,     9, 0.8888888888888888 ,            0,             0,            0
Boston Lions                                               ,   38,    48, 0.7916666666666666 ,            1,             0,            0
Hoya Robotics                                              ,   35,    48, 0.7291666666666666 ,            1,             0,            0
Express-O                                                  ,   10,    18, 0.5555555555555556 ,            1,             0,            0
C.I.S.                                                     ,    9,    11, 0.8181818181818182 ,            0,             0,            0
Trojanators                                                ,    8,    10, 0.8                ,            0,             0,            0
Beast from the East                                        ,   42,    57, 0.7368421052631579 ,            0,             0,            0
Arrowdynamics                                              ,   37,    47, 0.7872340425531915 ,            0,             0,            0
Tindley Trailblazers                                       ,   29,    46, 0.6304347826086957 ,            0,             0,            0
Awtybots                                                   ,   40,    61, 0.6557377049180327 ,            1,             0,            0
The Quadrangles                                            ,   31,    46, 0.6739130434782609 ,            0,             0,            0
Leviathans                                                 ,   33,    47, 0.7021276595744681 ,            0,             0,            0
Stormgears                                                 ,   40,    43, 0.9302325581395349 ,            0,             0,            0
Presentation Invasion                                      ,   33,    42, 0.7857142857142857 ,            0,             0,            0
MOJO                                                       ,   10,    16, 0.625              ,            0,             0,            0
Bellevillains                                              ,   37,    49, 0.7551020408163265 ,            0,             0,            0
Wavelength                                                 ,   34,    47, 0.723404255319149  ,            1,             0,            0
Steel Talons                                               ,   35,    48, 0.7291666666666666 ,            1,             0,            0
Impi Warriors                                              ,   33,    43, 0.7674418604651163 ,            0,             0,            0
The Digital Goats                                          ,   34,    45, 0.7555555555555555 ,            0,             0,            0
⚙️ The Grease Monkeys ⚙️                                     ,   30,    44, 0.6818181818181818 ,            0,             0,            0
K9.0 Robotics                                              ,   37,    54, 0.6851851851851852 ,            0,             0,            0
Purple Haze                                                ,   37,    48, 0.7708333333333334 ,            0,             0,            0
TechnoKats Robotics Team                                   ,   36,    48, 0.75               ,            1,             0,            0
4th Dimension                                              ,   12,    12, 1.0                ,            0,             0,            0
Velocity Raptors                                           ,   39,    52, 0.75               ,            0,             0,            0
Cycle-Breakers                                             ,   36,    46, 0.782608695652174  ,            1,             0,            0
Robodogs                                                   ,    6,    12, 0.5                ,            0,             0,            0
Grasshoppers                                               ,   12,    14, 0.8571428571428571 ,            0,             0,            0
Flame of The West                                          ,   30,    40, 0.75               ,            1,             0,            0
SESI SENAI MEGAZORD                                        ,   20,    28, 0.7142857142857143 ,            0,             0,            0
The Fighting Unicorns                                      ,   22,    30, 0.7333333333333333 ,            0,             0,            0
The Crickets                                               ,   21,    26, 0.8076923076923077 ,            0,             0,            0
RAM Rodz Robotics                                          ,   41,    51, 0.803921568627451  ,            0,             0,            0
Olympia Robotics Federation                                ,   35,    43, 0.813953488372093  ,            0,             0,            0
HIGHROLLERS                                                ,   13,    15, 0.8666666666666667 ,            0,             0,            0
Shark Attack                                               ,   15,    21, 0.7142857142857143 ,            0,             0,            0
PrepaTec - MechRams                                        ,   11,    15, 0.7333333333333333 ,            0,             0,            0
OTTER                                                      ,   20,    26, 0.7692307692307693 ,            0,             0,            0
Golden Warriors Robotics                                   ,   30,    46, 0.6521739130434783 ,            0,             0,            0
Team Voltage                                               ,   17,    25, 0.68               ,            0,             0,            0
Jacked Up Jackets                                          ,   32,    43, 0.7441860465116279 ,            0,             0,            0
Aragon Robotics Team                                       ,   34,    43, 0.7906976744186046 ,            0,             0,            0
Clockwork Knights                                          ,    7,    10, 0.7                ,            0,             0,            0
Mega MeadowBots                                            ,   12,    16, 0.75               ,            0,             0,            0
Knight Vision                                              ,   36,    47, 0.7659574468085106 ,            0,             0,            0
Blizzard                                                   ,   39,    50, 0.78               ,            1,             0,            0
The Deceivers                                              ,   30,    44, 0.6818181818181818 ,            0,             0,            0
Newton Squared                                             ,   22,    29, 0.7586206896551724 ,            0,             0,            0
Ferradermis                                                ,   35,    44, 0.7954545454545454 ,            0,             0,            0
Da Bears                                                   ,   33,    45, 0.7333333333333333 ,            0,             0,            0
Valence Robotics                                           ,   32,    53, 0.6037735849056604 ,            0,             0,            0
Triple Strange                                             ,   35,    48, 0.7291666666666666 ,            2,             0,            0
