Team number, Team name                                                  , Epa   , Auto EPA, Teleop EPA, Energized, Supercharged, Transition, First Shift, Second Shift, Endgame, Win Rate, Wins, Losses
       4476, W.A.F.F.L.E.S.                                             , 218.99,    34.06,     122.9 ,    0.5202, 0.4763      , 5.14      ,       59.82,        57.95,   61.89,   0.6923,   45,     20
       1156, Under Control                                              , 197.83,    39.96,     112.57,    0.5609, 0.0733      , 14.54     ,       62.08,        35.95,   45.32,   0.8   ,   48,     12
       8044, Denham Venom                                               , 256.51,    57.29,     133.09,    0.6465, 0.5848      , 15.24     ,       70.0 ,        47.85,   66.12,   0.8475,   50,      9
       7426, PAIR OF DICE ROBOTICS                                      , 204.79,    37.78,     106.3 ,    0.5785, 0.3311      , 5.55      ,       53.98,        46.76,   60.73,   0.7931,   46,     12
        180, S.P.A.M.                                                   , 196.87,    54.19,     104.1 ,    0.6285, 0.134       , 10.52     ,       56.94,        36.64,   38.82,   0.7717,   35,     10
       1325, Inverse Paradox                                            , 245.67,    46.38,     133.94,    0.6695, 0.6438      , 15.15     ,       61.38,        57.42,   64.67,   0.6747,   56,     27
      10340, ITKAN Girls                                                , 177.88,    41.65,     101.66,    0.4466, 0.3425      , 14.15     ,       44.93,        42.58,   35.27,   0.7761,   52,     15
       6800, Valor                                                      , 267.57,    55.89,     145.0 ,    0.7871, 0.7047      , 18.44     ,       70.86,        55.69,   67.41,   0.8611,   62,     10
       5940, BREAD                                                      , 202.07,    42.18,      94.68,    0.6816, 0.3978      , 8.84      ,       39.24,        46.6 ,   65.55,   0.8143,   57,     13
       4678, CyberCavs                                                  , 224.37,    46.72,     115.45,    0.5272, 0.4802      , 14.14     ,       49.03,        52.28,   62.13,   0.7231,   47,     18
       4522, Team SCREAM                                                , 241.76,    64.03,     118.55,    0.654 , 0.3879      , 10.81     ,       59.67,        48.07,   59.34,   0.7966,   47,     12
       1768, Nashoba Robotics                                           , 258.69,    42.22,     140.62,    0.8552, 0.6124      , 22.59     ,       59.01,        59.02,   75.85,   0.8046,   70,     17
       1706, Ratchet Rockers                                            , 256.0 ,    47.57,     151.22,    0.7256, 0.2629      , 15.68     ,       75.78,        59.76,   56.77,   0.9574,   45,      2
       2910, Jack in the Bot                                            , 281.78,    49.01,     152.6 ,    0.6153, 0.5788      , 19.6      ,       59.89,        73.11,   80.16,   0.6974,   53,     23
